"ID","Year of first issue","Day/month of first issue","Date of last issue","Title","Place of publication","Owners/ publishers/ editors","Comments","Source","Holdings"
"t1r228",1883,"29 Sept.","17 November 1883, two issues","Al-Waṭanī al-Miṣrī/The Egyptian Patriot","Paris","Al-Shaykh Abū Naẓẓāra Zarqā / Abou Naddara","Arabic and English","S, Ṭ","BL?, reprint Beirut, BnF (cote: 4- O3A- 681), IMA: 1878-1910 , online at archive.org"
"t1r230",1884,"19 Jan.","1910?","Abū Naẓẓāra/Abou Naddara (continuation, vol 8th)","Paris","Jams Sānuwā","Arabic and French","","IMA: 1878-1910 , reprint Beirut, also online"
"t1r231",1884,"13 March","still 1893","Al-Bayān","Cairo","Yūsuf Shīt and Mīkhāʾīl ʿAwrā","","+","SBB: 1884, DKQ"
"t1r232",1884,"","for five years","Al-Insān","Istanbul","Ḥasan (Bey) Ḥusnī al-Ṭuwayrānī","","Ṭ= 11 April 1886 or 28 May 1884","HTU: 1884, DKQ"
"t1r233",1884,"13 Dec.","","Kawkab al-ʿIlm","Istanbul","Najīb Nādir","","Ṭ",""
"t1r234",1884,"",1894,"Lisān al-ʿArab","Alexandria","Najīb Amīn al-Ḥaddād and ʿAbduh Badrān","","",""
"t1r235",1884,"April","1941 (?1959?)","Al-Maḥrūsa (reappeared)","Alexandria","Salīm Khalīl al-Naqqāsh","","","DKQM: 1882-1886, AUC"
"t1r236",1884,"Sept.","22 April 1886, 23 issues","Al-Mubashshir","Tunis, Livorno","Ilyāzār/Eliézer/Ilīzār Farḥī","Judeo-Arabic","",""
"t1r237",1884,"26 April","","Al-Naḥla (reappearing)","London","Luwīs Ṣābūnjī","","Ṭ",""
"t1r238",1884,"","still 1885","Al-Shams","Tunis, Paris","unknown","Judeo-Arabic","",""
"t1r239",1884,"1 Nov.",1889,"Silsilat al-Fukāhāt fī Aṭāyib al-Riwāyāt","Beirut, then Cairo","Nakhla Qalfāṭ","","S, Ṭ","AUB? DKQ?"
"t1r240",1884,"",1888,"Al-Ṭabīb","?","Shaykh Ibrāhīm al-Yāzijī","","","AUBonline"
"t1r241",1884,"Aug.","","Al-Tayms al-Miṣrī / The Times of Egypt","Cairo","A Beaman","English, Arabic, French","","BL: 26 Dec 1884"
"t1r242",1884,"13 March","16 October 1884, 18 issues","Al-ʿUrwa al-Wuthqā","Paris","Jamāl al-Dīn al-Afghānī and Muḥammad ʿAbduh","","Ṭ","Printed 1958, BL, SOAS, Dur, INALCO, BnF: March-Oct 1884, DKQ"
"t1r243",1884,"",1888,"Al-Zamān","Cairo","ʿAliksān Ṣarrafyān","","Ṭ",""
"t1r245",1885,"10 Jan.","27 December 1890; February 1904- December 1910","Abou Naddara/Abū Naẓẓāra Zarqā (continuation)","Paris","Jams Sānuwā","Arabic and French","","1885-1888 digitalized, BnF, IMA: 1878-1910 , online at archive.org, reprint Beirut"
"t1r246",1885,"","","Akhbār Ṭibbiyya? Reappearing?","Beirut","Dr. George Post","","",""
"t1r247",1885,"11 Feb.","","Al-Aʿlām","Cairo","Shaykh Muḥammad Bayram al-Khāmis al-Tūnisī","","Ṭ","BL: al-Iʿlam? 1886, DKQ, LoC: almost complete set"
"t1r248",1885,"1 Jan.","1888, 1892-1893","Dīwān al-Fukāha","Beirut","Salīm Shaḥāda and Salīm Būlus Ṭrād","","","BnF?"
"t1r249",1885,"10 Oct.","discontinued then published again","Al-Fallāh","Cairo, from 1886 Alexandria","Salīm Bāshā Ḥamawī","","+!, Ṭ",""
"t1r250",1885,"8 Dec.","","Al-Ḥaqāʾiq","Istanbul","Abu’l-Naṣr Yaḥyā al-Salāwī","","Ṭ","BDK, HTU, DKQ"
"t1r251",1885,"10 Oct.","still 1919","Al-Ḥuqūq","Cairo","Amīn Shumayyil and Ibrāhīm Al-Jammāl","weekly","+!, Ṭ= 6 March 1886, Hartmann= 10 October 1885 (but it must be 1 Muḥarram 1303)","DKQ, AUB?, BS: 1886-1902"
"t1r252",1885,"13 Jan.","","Kawkab al-ʿIlm","Beirut","Najīb Nādir","","Ṭ",""
"t1r253",1885,"23 Oct.","30 October 1885, 2 issues","Al-Mubashshir al-Ṣādiq/Le Messager intègre","Tunis","Sīmāḥ bin Niṭān Līfī/ Simah b. Nathan ha-Lévy","Judeo-Arabic","S",""
"t1r254",1885,"","","Al-Nashra al-Rasmiyya li-Maṣlaḥat al-Barīd/Al-Nashra al-Barīdiyya","Cairo","Idārat al-Barīd al-Miṣrī","","Ṭ",""
"t1r255",1885,"23 Nov.",1889,"Al-Qāhira (al-Ḥurra)","Cairo","Salīm Fāris (al-Shidyāq)","","+","DKQM: 1886-1889 (few numbers only), DKQ: 1890, BL: 1884?-1889"
"t1r256",1885,"",1888,"Al-Qāhira al-Ḥurra","Cairo","ʿĀrif al-Mārdīnī","","Ṭ","BL"
"t1r257",1885,"","","Al-Salām","Istanbul","al-Ḥājj Ṣāliḥ al-Ṣāʾighī","","Ṭ","MEC"
"t1r258",1885,"22 Feb.","35 issues","Al-Shams/El-Chams/Le Soleil","Tunis, Paris","Chalom/Chialom Guetta/Salīm Quwayta/Sālūm Qiṭṭa and Iliyāhū Sasson","Arabic-English-Hebrew/ Judeo-Arabic","Ṭ, S","BnF?, DKWT"
"t1r260",1886,"","","Al-ʿAdāla","Cairo","Aʿsad Zaghlūl","","",""
"t1r261",1886,"","one issue","Al-Badr al-Kāmil","Tunis","Shalūm Fallāḥ","Judeo-Arabic","",""
"t1r262",1886,"22 March",1918,"Bayrūt","Beirut","Muḥammad Rashīd al-Danā","","","BL, BnF?, AUB:1886-88 (no 1-195)"
"t1r263",1886,"15 May","1896?","Al-Laṭāʾif","Cairo","Shāhīn Makāriyūs","","+, Ṭ","DKQM:1886-1892, AUB: 1886-1888,1890, Harv: 1886"
"t1r264",1886,"November?","one issue","Mirʾāt al-Akhlāq","Damascus","Salīm ʿAnḥūrī and Ḥannā ʿAnḥūrī","","Ṭ, S",""
"t1r265",1886,"22 April","30 January 1887, 26 issues","Munawwir al-Ḥaqq","Tunis","Shalūm Fallāḥ/Scialom Flah","Judeo-Arabic","S",""
